               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.077431,            0.068096,                   0,             0.27725,               0.625,              0.2708,            0.074838,            0.086614,            0.058994,                   0,            0.064524,           0.0035236,           0.0035236
                  40,            0.080122,            0.062805,                   0,             0.15296,                0.45,             0.12576,            0.041342,            0.084296,              0.0593,                   0,            0.063604,            0.003604,            0.003604
                  41,            0.079061,            0.064579,                   0,             0.22272,               0.675,             0.22848,            0.067753,            0.081362,            0.057262,                   0,            0.062684,            0.003684,            0.003684
                  42,            0.078363,            0.069376,                   0,             0.31597,                0.65,             0.36558,             0.10875,            0.083108,            0.056593,                   0,            0.061763,           0.0037634,           0.0037634
                  43,            0.077741,             0.07877,                   0,             0.33352,                0.75,             0.36322,            0.094365,            0.079492,            0.058779,                   0,            0.060842,           0.0038424,           0.0038424
                  44,             0.07567,            0.066626,                   0,             0.21628,               0.625,             0.26066,            0.069293,            0.082116,            0.058278,                   0,            0.059921,           0.0039208,           0.0039208
                  45,             0.07903,            0.062994,                   0,             0.18194,               0.575,             0.17624,            0.058342,            0.078457,            0.058664,                   0,            0.058999,           0.0039988,           0.0039988
                  46,            0.074071,            0.065122,                   0,             0.27439,               0.725,             0.30428,            0.091025,            0.084791,            0.054526,                   0,            0.058076,           0.0040763,           0.0040763
                  47,            0.079214,            0.064789,                   0,             0.48518,               0.625,             0.60603,             0.18083,            0.079795,            0.056073,                   0,            0.057153,           0.0041533,           0.0041533
                  48,            0.075857,             0.06056,                   0,             0.43736,               0.725,             0.46861,             0.17628,            0.080654,            0.057138,                   0,             0.05623,           0.0042298,           0.0042298
                  49,            0.076979,            0.067829,                   0,             0.28291,             0.69046,             0.28505,            0.083322,            0.083605,            0.058404,                   0,            0.055306,           0.0043058,           0.0043058
                  50,            0.077041,            0.068068,                   0,             0.28291,             0.69046,             0.28505,            0.083322,            0.083605,            0.058404,                   0,            0.054381,           0.0043812,           0.0043812
                  51,            0.081266,            0.064909,                   0,             0.52779,               0.725,             0.54053,             0.22036,            0.072396,            0.055738,                   0,            0.053456,           0.0044563,           0.0044563
                  52,            0.078694,             0.06109,                   0,             0.52779,               0.725,             0.54053,             0.22036,            0.072396,            0.055738,                   0,            0.052531,           0.0045308,           0.0045308
                  53,            0.078404,             0.05354,                   0,             0.12306,                 0.6,             0.12446,            0.033208,            0.097359,            0.055338,                   0,            0.051605,           0.0046048,           0.0046048
                  54,              0.0886,            0.059522,                   0,             0.12306,                 0.6,             0.12446,            0.033208,            0.097359,            0.055338,                   0,            0.050678,           0.0046783,           0.0046783
                  55,            0.089555,            0.055529,                   0,             0.28766,               0.475,             0.29983,            0.080422,             0.07788,            0.056755,                   0,            0.049751,           0.0047513,           0.0047513
                  56,            0.074244,            0.068919,                   0,             0.28766,               0.475,             0.29983,            0.080422,             0.07788,            0.056755,                   0,            0.048824,           0.0048238,           0.0048238
                  57,            0.075842,             0.06498,                   0,             0.19053,               0.625,             0.21384,            0.078961,             0.08829,            0.052761,                   0,            0.047896,           0.0048959,           0.0048959
                  58,            0.087608,            0.073677,                   0,             0.19053,               0.625,             0.21384,            0.078961,             0.08829,            0.052761,                   0,            0.046967,           0.0049674,           0.0049674
                  59,             0.08672,             0.06489,                   0,             0.31801,                 0.6,             0.30063,             0.11591,            0.083175,            0.051403,                   0,            0.046038,           0.0050385,           0.0050385
                  60,            0.079931,             0.05619,                   0,             0.31801,                 0.6,             0.30063,             0.11591,            0.083175,            0.051403,                   0,            0.045109,            0.005109,            0.005109
                  61,            0.078036,             0.05766,                   0,             0.20663,                0.75,             0.21829,            0.073369,            0.085586,            0.051368,                   0,            0.044179,           0.0051791,           0.0051791
                  62,            0.075746,            0.057939,                   0,             0.20663,                0.75,             0.21829,            0.073369,            0.085586,            0.051368,                   0,            0.043249,           0.0052486,           0.0052486
                  63,            0.076973,            0.054213,                   0,             0.38867,               0.525,             0.46328,             0.18365,             0.07993,            0.052214,                   0,            0.042318,           0.0053177,           0.0053177
                  64,             0.07991,            0.070931,                   0,             0.38867,               0.525,             0.46328,             0.18365,             0.07993,            0.052214,                   0,            0.041386,           0.0053862,           0.0053862
                  65,            0.078779,            0.055638,                   0,             0.11743,                0.75,             0.11691,            0.040138,            0.082778,            0.052548,                   0,            0.040454,           0.0054543,           0.0054543
                  66,             0.08097,             0.05981,                   0,             0.11743,                0.75,             0.11691,            0.040138,            0.082778,            0.052548,                   0,            0.039522,           0.0055219,           0.0055219
                  67,            0.077869,             0.05946,                   0,             0.25804,             0.59128,             0.30041,            0.097989,            0.077028,            0.053091,                   0,            0.038589,            0.005589,            0.005589
